"Time","distance"done 
 
 
0.0,24.857379850097693done 
 
 
2000.0,21.3718363558964done 
 
 
4000.0,21.102863223929187done 
 
 
6000.0,15.287611848480186done 
 
 
8000.0,16.71264407053005done 
 
 
10000.0,22.348956420484953done 
 
 
12000.0,19.986275199299907done 
 
 
14000.0,15.139663682844784done 
 
 
16000.0,19.418218512640745done 
 
 
18000.0,16.744025065438166done 
 
 
20000.0,15.518819389992709done 
 
 
9990.0,12.48225777733078done 
 
 
19990.0,10.246163086392523done 
 
 
29990.0,12.612498729252227done 
 
 
39990.0,12.019650335056795done 
 
 
49990.0,11.35226952049062done 
 
 
59990.0,12.93730238747137done 
 
 
69990.0,12.330406483216228done 
 
 
79990.0,12.46721069941138done 
 
 
89990.0,13.64767160623321done 
 
 
99990.0,12.829192797738926done 
 
 
109990.0,10.426011236107867done 
 
 
119990.0,9.136923733424638done 
 
 
129990.0,9.66237806813669done 
 
 
139990.0,9.212909848721461done 
 
 
149990.0,10.331562356865334done 
 
 
159990.0,9.416983086974811done 
 
 
169990.0,10.372873242998555done 
 
 
179990.0,9.112935019040277done 
 
 
189990.0,8.779844997722327done 
 
 
199990.0,8.552815939995813done 
 
 
