"Time","standard_dev(A,O,D)"done 
 
 
0.0,"[45.035755, 44.79689217961765, 22.809885]"done 
 
 
2000.0,"[43.442318, 40.772865895306765, 21.49453]"done 
 
 
4000.0,"[44.99842, 40.58808111371352, 22.693283]"done 
 
 
6000.0,"[42.511967, 31.40973468690116, 22.86997]"done 
 
 
8000.0,"[42.503593, 33.7701925633401, 19.999882]"done 
 
 
10000.0,"[40.67484, 41.530438642535174, 22.527756]"done 
 
 
12000.0,"[41.18527, 38.33397005880318, 21.552912]"done 
 
 
14000.0,"[42.202667, 30.377599051548145, 19.290955]"done 
 
 
16000.0,"[40.196503, 37.51247564063056, 20.66911]"done 
 
 
18000.0,"[35.756294, 34.427205521370745, 21.411669]"done 
 
 
20000.0,"[40.15691, 31.090480939632446, 20.323559]"done 
 
 
9990.0,"[36.29885, 24.333856787808344, 19.12465]"done 
 
 
19990.0,"[33.987354, 18.563030087755383, 19.361742]"done 
 
 
29990.0,"[33.87607, 24.636126889845848, 19.136806]"done 
 
 
39990.0,"[34.562515, 23.07280620238624, 18.15775]"done 
 
 
49990.0,"[30.581825, 20.913119378478285, 17.159405]"done 
 
 
59990.0,"[32.377594, 24.834649670537996, 16.285347]"done 
 
 
69990.0,"[34.64982, 23.48906137387708, 18.900608]"done 
 
 
79990.0,"[33.12314, 23.838240364343704, 18.64746]"done 
 
 
89990.0,"[31.614584, 26.480404042649408, 17.123165]"done 
 
 
99990.0,"[30.885778, 24.849941290884345, 18.347757]"done 
 
 
109990.0,"[28.552042, 18.19423211075935, 18.1049]"done 
 
 
119990.0,"[31.022297, 13.302158113919829, 18.642006]"done 
 
 
129990.0,"[33.189022, 15.850016962402862, 18.396503]"done 
 
 
139990.0,"[32.542244, 13.555311871399727, 17.09153]"done 
 
 
149990.0,"[34.482574, 17.898677991551764, 17.541672]"done 
 
 
159990.0,"[30.642818, 14.506326602140756, 18.41045]"done 
 
 
169990.0,"[29.998783, 17.837454847533323, 19.348654]"done 
 
 
179990.0,"[33.815216, 13.34128501574381, 17.185709]"done 
 
 
189990.0,"[27.000599, 12.097436828496908, 15.434392]"done 
 
 
199990.0,"[33.754482, 10.839758581404013, 17.377062]"done 
 
 
